x_axis,channel_2
0.0,(0.07766485854644953-5.551115123125783e-17j)
0.0007813000000007,(0.07697058799524963-2.7023739149201198e-17j)
0.0015625000000003,(0.07627463615344142+3.40168431617327e-17j)
0.0023438000000002,(0.07558030535685352+1.973247953923618e-17j)
0.0031250000000007,(0.07489067300663559+1.8865117801247777e-17j)
0.0039063000000005,(0.0742084516533188-3.870601755773251e-17j)
0.0046875000000001,(0.07353586930338771+3.7513395167998453e-17j)
0.0054688,(0.07287457633331658-8.023096076392733e-17j)
0.0062500000000005,(0.07222558396418684+1.6046192152785466e-17j)
0.0070313000000004,(0.0715892375557939+4.336808689942018e-18j)
0.0078125,(0.07096522611226544-1.8214596497756474e-17j)
0.0085938000000007,(0.07035262745030296+5.204170427930421e-17j)
0.0093750000000003,(0.0697499865688117-4.2500725161431774e-17j)
0.0101563000000002,(0.0691554229759832+6.158268339717665e-17j)
0.0109375000000007,(0.06856676117128695+2.949029909160572e-17j)
0.0117188000000005,(0.06798167722809526+3.729655473350135e-17j)
0.0125000000000001,(0.06739785354469757+3.9898639947466563e-17j)
0.0132813,(0.06681313337464745-6.938893903907228e-18j)
0.0140626000000008,(0.0662256667371694+1.5612511283791264e-17j)
0.0148438000000004,(0.06563403974675303-8.326672684688674e-17j)
0.0156251000000002,(0.06503738026650134-3.469446951953614e-18j)
0.0164063000000007,(0.06443543403812962-1.0408340855860843e-17j)
0.0171876000000006,(0.0638286070081547-1.0581813203458523e-16j)
0.0179688000000002,(0.06321797137306831+1.734723475976807e-17j)
0.0187501000000001,(0.0626052348114463+3.122502256758253e-17j)
0.0195313000000005,(0.061992674355217874+2.0816681711721685e-17j)
0.0203126000000004,(0.06138303827013862-2.7755575615628914e-17j)
0.0210938,(0.060779421064048565-6.938893903907228e-18j)
0.0218751000000008,(0.060185118226158865+2.7755575615628914e-17j)
0.0226563000000004,(0.0596034684400064-1.1449174941446927e-16j)
0.0234376000000002,(0.059037691743181187+4.5102810375396984e-17j)
0.0242188000000007,(0.058490732385972584-8.326672684688674e-17j)
0.0250001000000006,(0.05796511494992187+7.28583859910259e-17j)
0.0257813000000002,(0.05746282163205113-2.42861286636753e-17j)
0.0265626000000001,(0.05698519751228595-1.3877787807814457e-17j)
0.0273438000000005,(0.0565328891548479-5.204170427930421e-17j)
0.0281251000000004,(0.05610582012460115-9.71445146547012e-17j)
0.0289063,(0.055703205019015205-1.0408340855860843e-17j)
0.0296876000000008,(0.05532360153049868-1.0408340855860843e-17j)
0.0304688000000004,(0.05496499797418684+2.0816681711721685e-17j)
0.0312501000000002,(0.054624931755638026-1.0408340855860843e-17j)
0.0320313000000007,(0.05430063251911818-3.469446951953614e-18j)
0.0328126000000006,(0.05398918230703528-1.214306433183765e-16j)
0.0335938000000002,(0.05368768405516329-4.5102810375396984e-17j)
0.0343751000000001,(0.05339342920618958+7.632783294297951e-17j)
0.0351563000000005,(0.05310405518101112-4.5102810375396984e-17j)
0.0359376000000004,(0.05281768391157777+4.163336342344337e-17j)
0.0367188,(0.05253303359184597-1.3877787807814457e-17j)
0.0375001000000008,(0.052249497198522524-4.163336342344337e-17j)
0.0382813000000004,(0.05196718309986731-3.469446951953614e-18j)
0.0390626000000002,(0.051686915116626146+6.245004513516506e-17j)
0.0398438000000007,(0.05141019161527489-3.122502256758253e-17j)
0.0406251000000006,(0.05113910548033562-6.765421556309548e-17j)
0.0414063000000002,(0.05087622900515923-1.734723475976807e-18j)
0.0421876000000001,(0.05062446973712471-2.862293735361732e-17j)
0.0429688000000005,(0.0503869050004929+3.469446951953614e-17j)
0.0437501000000004,(0.05016660410041756+6.006480035569695e-17j)
0.0445313,(0.04996644800811286-2.2985086056692694e-17j)
0.0453126000000008,(0.04978895658884877+5.984795992119984e-17j)
0.0460938000000004,(0.049636133139103436+2.862293735361732e-17j)
0.0468751000000002,(0.04950933515530727+3.642919299551295e-17j)
0.0476563000000007,(0.04940917890329531-1.0755285551056204e-16j)
0.0484376000000006,(0.04933548356297729+0j)
0.0492188000000002,(0.04928725858067569+3.8163916471489756e-17j)
0.0500001000000001,(0.04926273548682461-6.938893903907228e-18j)
0.0507813000000005,(0.0492594429588425+3.469446951953614e-18j)
0.0515626000000004,(0.049274321465408104+3.469446951953614e-18j)
0.0523438,(0.04930387155677325+1.1796119636642288e-16j)
0.0531251000000008,(0.049344327896344055-1.734723475976807e-17j)
0.0539063000000004,(0.04939184957687945+1.3877787807814457e-17j)
0.0546876000000002,(0.04944271622392124+1.3877787807814457e-17j)
0.0554688000000007,(0.04949351892582064+3.469446951953614e-18j)
0.0562501000000006,(0.0495413351787828+3.8163916471489756e-17j)
0.0570313000000002,(0.0495838777974649+5.898059818321144e-17j)
0.0578126000000001,(0.04961960908297518-5.898059818321144e-17j)
