x_axis,channel_2
10.0,(-0.1599986683262052-3.552713678800501e-18j)
9.99875,(-0.08057684892526684-4.39648317751562e-17j)
9.9975,(0.046875087312033256-2.7755575615628914e-17j)
9.99625,(0.14366996775935006+8.659739592076221e-18j)
9.995,(0.15251636194149984+0j)
9.99375,(0.063838925074949+5.5067062021407764e-17j)
9.9925,(-0.07124226510571069+4.085620730620576e-17j)
9.99125,(-0.16025415065048917+0j)
9.99,(-0.13154477139513862-2.842170943040401e-17j)
9.98875,(-0.0004366656836602516-2.4424906541753444e-17j)
9.9875,(0.1290005439138658+1.0880185641326535e-17j)
9.98625,(0.1471711747010185+1.709743457922741e-17j)
9.985,(0.038337082460908334+2.2648549702353195e-17j)
9.98375,(-0.10204138423260935+4.8627768478581857e-17j)
9.9825,(-0.15405476585196415-1.509903313490213e-17j)
9.98125,(-0.08062627950232448+1.0658141036401503e-17j)
9.98,(0.04762157562315072-1.5987211554602256e-17j)
9.97875,(0.12560378797180727-1.687538997430238e-17j)
9.9775,(0.10501528566871011+6.439293542825908e-18j)
9.97625,(0.019722913203374985+5.662137425588298e-17j)
9.975,(-0.06002905153455326-1.7763568394002505e-18j)
9.97375,(-0.0853437902635381+1.021405182655144e-17j)
9.9725,(-0.050493551749103784+6.217248937900877e-18j)
9.97125,(0.01720842020526311+7.993605777301128e-18j)
9.97,(0.07407689715330645-1.021405182655144e-17j)
9.96875,(0.07816784640177621-6.661338147750939e-18j)
9.9675,(0.016606245086449128+2.864375403532904e-17j)
9.96625,(-0.07234142790503333+3.130828929442942e-17j)
9.965,(-0.11629221914618998+7.993605777301128e-18j)
9.96375,(-0.06900625211488634-4.085620730620576e-17j)
9.9625,(0.03819428725593607-2.2204460492503132e-17j)
9.96125,(0.11459777951195962+3.508304757815495e-17j)
9.96,(0.0922356635771763-9.769962616701377e-18j)
9.95875,(-0.007222113827997739+2.531308496145357e-17j)
9.9575,(-0.09185596722565555+3.7747582837255325e-18j)
9.95625,(-0.08752754292508685-1.6209256159527284e-17j)
9.955,(-0.004946527673674723-2.6645352591003758e-18j)
9.95375,(0.07855331032947313-1.5987211554602256e-17j)
9.9525,(0.09553175583095387-3.552713678800501e-17j)
9.95125,(0.04252134161129737+1.5987211554602256e-17j)
9.95,(-0.032399896805434106-2.5757174171303633e-17j)
9.94875,(-0.07903317958326907+2.4424906541753444e-17j)
9.9475,(-0.07706784026734755-2.375877272697835e-17j)
9.94625,(-0.03428491550302918-1.6653345369377347e-17j)
9.945,(0.02574651953841442-1.7763568394002505e-18j)
9.94375,(0.06967984312583235+1.1102230246251566e-18j)
9.9425,(0.06553894635841179+2.398081733190338e-17j)
9.94125,(0.008440177740264794-1.1546319456101629e-17j)
9.94,(-0.061992865206884275+2.4868995751603507e-17j)
9.93875,(-0.08490335654085493-3.819167204710539e-17j)
9.9375,(-0.033443066825803995-4.6851411639181604e-17j)
9.93625,(0.05287748478710635-1.4432899320127036e-17j)
9.935,(0.10010442780604331-7.105427357601002e-18j)
9.93375,(0.06931037365326494-3.863576125695545e-17j)
9.9325,(-0.00793650477426366-3.286260152890463e-17j)
9.93125,(-0.06465636148049714-9.769962616701377e-18j)
9.93,(-0.06385531204486326+2.2648549702353195e-17j)
9.92875,(-0.024628337358341953-2.4424906541753444e-17j)
9.9275,(0.010748476362331897-2.5979218776228665e-17j)
9.92625,(0.022302626118859196+6.439293542825908e-18j)
9.925,(0.019495083673075585-1.2878587085651817e-17j)
9.92375,(0.01391459539430818+7.105427357601002e-18j)
9.9225,(0.001885899893014667-2.7533531010703882e-17j)
9.92125,(-0.0208902377215764-2.97539770599542e-17j)
9.92,(-0.03950778766848893-3.0312079448954663e-17j)
9.91875,(-0.029505592233219326+1.471973566757892e-17j)
9.9175,(0.011847735502869014+2.1265992051963973e-17j)
9.91625,(0.05408293141645234-1.0706303457280178e-17j)
9.915,(0.061198811781290136+3.3137063754629054e-17j)
9.91375,(0.028124011453761717-9.726492070689788e-18j)
9.9125,(-0.0163814979956519+4.4408920985006264e-17j)
9.91125,(-0.04142812086325051-1.6161093738648613e-17j)
