x_axis,channel_2
10.0,(0.2373539843469401+3.469446951953614e-17j)
9.99875,(0.04763164534696674-3.4907921822244226e-17j)
9.9975,(-0.1562959680429121+3.301395615218361e-17j)
9.99625,(-0.2656193796815191+1.6046192152785466e-17j)
9.995,(-0.22943729802533824-5.2475385148298415e-17j)
9.99375,(-0.0785074983738098-6.451002926288751e-17j)
9.9925,(0.0946749391700911+3.729655473350135e-17j)
9.99125,(0.1919483690249318+1.6046192152785466e-17j)
9.99,(0.1707572113769394-6.071532165918825e-18j)
9.98875,(0.06880589159653337+1.3444106938820255e-17j)
9.9875,(-0.02906756601473475+1.5829351718288365e-17j)
9.98625,(-0.05839727710295953-4.640385298237959e-17j)
9.985,(-0.022489915483203192-5.572799166575493e-17j)
9.98375,(0.019603343307742296+8.044780119842443e-17j)
9.9825,(0.011772433202029389-2.0166160408230382e-17j)
9.98125,(-0.04795374075046617-8.673617379884035e-19j)
9.98,(-0.10869481552576504+4.5102810375396984e-17j)
9.97875,(-0.1150793201661826-3.469446951953614e-18j)
9.9775,(-0.05517256343791099-3.469446951953614e-17j)
9.97625,(0.03392593370379798+2.5153490401663703e-17j)
9.975,(0.10111892040579577-2.42861286636753e-17j)
9.97375,(0.11948877139282088+9.71445146547012e-17j)
9.9725,(0.09512191274136397+1.0408340855860843e-16j)
9.97125,(0.04846101103851721+1.9081958235744878e-17j)
9.97,(-0.005067147057317713+3.968179951296946e-17j)
9.96875,(-0.05614465930412789-3.642919299551295e-17j)
9.9675,(-0.09145324129726534-1.0408340855860843e-17j)
9.96625,(-0.0924143446595775-4.85722573273506e-17j)
9.965,(-0.04982401429688951+6.591949208711867e-17j)
9.96375,(0.020338809734296224+8.673617379884035e-19j)
9.9625,(0.07975995876330809+0j)
9.96125,(0.09195560881629306+0j)
9.96,(0.04916629753224003-6.245004513516506e-17j)
9.95875,(-0.02074021825944257+7.28583859910259e-17j)
9.9575,(-0.0737875809226193+3.8163916471489756e-17j)
9.95625,(-0.08086089123749458-2.0816681711721685e-17j)
