Time,Sensor
0.0,0.022228
0.003906999999999883,0.021474
0.007812999999999626,0.02072
0.011718999999999369,0.019338
0.015625,0.018082
0.019531999999999883,0.018082
0.023437999999999626,0.017831
0.02734399999999937,0.016449
0.03125,0.015192
0.03515699999999988,0.014564
0.039062999999999626,0.01381
0.04296899999999937,0.013308
0.046875,0.012303
0.05078199999999988,0.011424
0.054687999999999626,0.011047
0.05859399999999937,0.01067
0.0625,0.010293
0.06640699999999988,0.009916
0.07031299999999963,0.009288
0.07421899999999937,0.009037
0.078125,0.009162
0.08203199999999988,0.008911
0.08593799999999963,0.00866
0.08984399999999937,0.008283
0.09375,0.008157
0.09765699999999988,0.008157
0.10156299999999963,0.008032
0.10546899999999937,0.008157
0.109375,0.008408
0.11328199999999988,0.008534
0.11718799999999963,0.008911
0.12109399999999937,0.009413
0.125,0.009413
0.12890699999999988,0.009539
0.13281299999999963,0.00979
0.13671899999999937,0.010167
0.140625,0.010795
0.14453199999999988,0.011172
0.14843799999999963,0.011424
0.15234399999999937,0.011675
0.15625,0.011926
0.16015699999999988,0.012554
0.16406299999999963,0.012931
0.16796899999999937,0.013057
0.171875,0.013057
0.17578199999999988,0.013182
0.17968799999999963,0.01381
0.18359399999999937,0.014439
0.1875,0.014439
0.19140699999999988,0.01469
0.19531299999999963,0.015067
0.19921899999999937,0.015569
0.203125,0.016072
0.20703199999999988,0.016197
0.21093799999999963,0.016072
0.21484399999999937,0.016197
0.21875,0.016574
0.22265699999999988,0.017077
0.22656299999999963,0.017328
0.23046899999999937,0.017454
0.234375,0.017579
0.23828199999999988,0.018082
0.24218799999999963,0.018333
0.24609399999999937,0.018333
0.25,0.018207
0.2539069999999999,0.018207
0.2578129999999996,0.018836
0.26171899999999937,0.019087
0.265625,0.019338
0.2695319999999999,0.019087
0.2734379999999996,0.018836
0.27734399999999937,0.018961
0.28125,0.019212
0.2851569999999999,0.019087
0.2890629999999996,0.01871
0.29296899999999937,0.018584
0.296875,0.01871
0.3007819999999999,0.018836
0.3046879999999996,0.01871
0.30859399999999937,0.018333
0.3125,0.018082
0.3164069999999999,0.018082
0.3203129999999996,0.018207
0.32421899999999937,0.018082
0.328125,0.017831
0.3320319999999999,0.017579
0.3359379999999996,0.017579
0.33984399999999937,0.017705
0.34375,0.017705
0.3476569999999999,0.017454
0.3515629999999996,0.017202
0.35546899999999937,0.017202
0.359375,0.017328
0.3632819999999999,0.017328
0.3671879999999996,0.017077
0.37109399999999937,0.016826
0.375,0.016826
0.3789069999999999,0.016826
0.3828129999999996,0.016951
0.38671899999999937,0.0167
0.390625,0.016449
0.3945319999999999,0.016323
0.3984379999999996,0.016449
0.40234399999999937,0.016574
0.40625,0.016449
0.4101569999999999,0.016072
0.4140629999999996,0.016072
0.41796899999999937,0.016197
0.421875,0.016323
0.4257819999999999,0.016072
0.4296879999999996,0.015821
0.43359399999999937,0.015695
0.4375,0.015695
0.4414069999999999,0.015821
0.4453129999999996,0.015695
0.44921899999999937,0.015444
0.453125,0.015318
0.4570319999999999,0.015444
0.4609379999999996,0.015569
0.46484399999999937,0.015444
0.46875,0.015192
0.4726569999999999,0.014941
0.4765629999999996,0.014941
0.48046899999999937,0.015067
0.484375,0.014941
0.4882819999999999,0.014815
0.4921879999999996,0.014439
0.49609399999999937,0.014439
0.5,0.014564
0.5039069999999999,0.014439
0.5078129999999996,0.014313
0.5117189999999994,0.014062
0.515625,0.014062
0.5195319999999999,0.014313
0.5234379999999996,0.014313
0.5273439999999994,0.014187
0.53125,0.014313
0.5351569999999999,0.014564
0.5390629999999996,0.014815
0.5429689999999994,0.015192
0.546875,0.015444
0.5507819999999999,0.015444
0.5546879999999996,0.015821
0.5585939999999994,0.0167
0.5625,0.017202
0.5664069999999999,0.017328
0.5703129999999996,0.017328
0.5742189999999994,0.017454
0.578125,0.017705
0.5820319999999999,0.017956
0.5859379999999996,0.018082
0.5898439999999994,0.017956
0.59375,0.018082
0.5976569999999999,0.018207
0.6015629999999996,0.018333
0.6054689999999994,0.018459
0.609375,0.018333
0.6132819999999999,0.018333
0.6171879999999996,0.018584
0.6210939999999994,0.018836
0.625,0.018836
0.6289069999999999,0.018584
0.6328129999999996,0.018584
0.6367189999999994,0.018584
0.640625,0.01871
0.6445319999999999,0.01871
0.6484379999999996,0.018333
0.6523439999999994,0.018082
0.65625,0.018207
0.6601569999999999,0.018333
0.6640629999999996,0.018333
0.6679689999999994,0.018082
0.671875,0.017956
0.6757819999999999,0.018082
0.6796879999999996,0.018082
0.6835939999999994,0.018333
0.6875,0.018836
0.6914069999999999,0.019464
0.6953129999999996,0.020594
0.6992189999999994,0.022479
0.703125,0.027127
0.7070319999999999,0.03077
0.7109379999999996,0.031775
0.7148439999999994,0.034539
0.71875,0.042202
0.7226569999999999,0.0368
0.7265629999999996,0.050996
0.7304689999999994,0.047604
0.734375,0.042328
0.7382819999999999,0.035921
0.7421879999999996,0.038308
0.7460939999999994,0.036298
0.75,0.036298
0.7539069999999999,0.036172
0.7578129999999996,0.03768
0.7617189999999994,0.038685
0.765625,0.0368
0.7695319999999999,0.039313
0.7734379999999996,0.039313
0.7773439999999994,0.040444
0.78125,0.041449
0.7851569999999999,0.040695
0.7890629999999996,0.040946
0.7929689999999994,0.042831
0.796875,0.043207
0.8007819999999999,0.044212
0.8046879999999996,0.044464
0.8085939999999994,0.043584
0.8125,0.044589
0.8164069999999999,0.048861
0.8203129999999996,0.052881
0.8242189999999994,0.050494
0.828125,0.047353
0.8320319999999999,0.045343
0.8359379999999996,0.042705
